   3.1749238681859917        1.3999999999999999     
   3.1749238681859917        3.1749238681859917        3.1749238681859917        3.1749238681859917        3.1749238681859917     
     STEP time[DAYS]   DIFF_ACTION   DIFF_WAVENUMBER
        0 0.00000000 2.4428370441+02 1.2013713739-04
        1 0.00000048 1.0254663873+00 1.2016606597-04
        2 0.00000096 6.8154506651-01 1.2022425795-04
        3 0.00000145 6.7871662929-01 1.1989826935-04
        4 0.00000193 6.7779530052-01 1.1995682381-04
        5 0.00000241 6.7497977041-01 1.1963132456-04
        6 0.00000289 6.7406244466-01 1.1968970748-04
        7 0.00000338 6.7125993408-01 1.1936469868-04
        8 0.00000386 6.7034664446-01 1.1942291070-04
       10 0.00000482 6.6664802620-01 1.1915643518-04
       12 0.00000579 6.6296669875-01 1.1889028262-04
       14 0.00000675 6.5930275522-01 1.1862445468-04
       16 0.00000772 6.5565627441-01 1.1835895302-04
       20 0.00000965 6.4841595259-01 1.1782893504-04
       24 0.00001157 6.4124612473-01 1.1730024151-04
       28 0.00001350 6.3414702487-01 1.1677288494-04
       32 0.00001543 6.2711875571-01 1.1624687751-04
       36 0.00001736 6.2016130996-01 1.1572223114-04
       40 0.00001929 6.1327458782-01 1.1519895741-04
       44 0.00002122 6.0645841142-01 1.1467706764-04
       48 0.00002315 5.9971253690-01 1.1415657284-04
       52 0.00002508 5.9303666438-01 1.1363748375-04
       56 0.00002701 5.8643044644-01 1.1311981080-04
       60 0.00002894 5.7989349524-01 1.1260356419-04
       64 0.00003086 5.7342538855-01 1.1208875382-04
       72 0.00003472 5.6069387797-01 1.1106348006-04
       80 0.00003858 5.4823202689-01 1.1004406350-04
       88 0.00004244 5.3603565874-01 1.0903057404-04
       96 0.00004630 5.2410039299-01 1.0802307761-04
      104 0.00005015 5.1242170904-01 1.0702163635-04
      112 0.00005401 5.0099499491-01 1.0602630867-04
      120 0.00005787 4.8981558467-01 1.0503714938-04
      128 0.00006173 4.7887878739-01 1.0405420984-04
      136 0.00006559 4.6817990968-01 1.0307753802-04
      144 0.00006944 4.5771427331-01 1.0210717864-04
      152 0.00007330 4.4747722908-01 1.0114317324-04
      160 0.00007716 4.3746416764-01 1.0018556033-04
      168 0.00008102 4.2767052806-01 9.9234375426-05
      176 0.00008488 4.1809180448-01 9.8289651193-05
      184 0.00008873 4.0872355135-01 9.7351417511-05
      192 0.00009259 3.9956138741-01 9.6419701568-05
      200 0.00009645 3.9060099879-01 9.5494527950-05
      208 0.00010031 3.8183814127-01 9.4575918721-05
      216 0.00010417 3.7326864200-01 9.3663893504-05
      224 0.00010802 3.6488840057-01 9.2758469563-05
      232 0.00011188 3.5669338979-01 9.1859661873-05
      240 0.00011574 3.4867965604-01 9.0967483202-05
      248 0.00011960 3.4084331939-01 9.0081944176-05
      256 0.00012346 3.3318057339-01 8.9203053354-05
      272 0.00013117 3.1835955362-01 8.7465240615-05
      288 0.00013889 3.0418455056-01 8.5754074606-05
      304 0.00014660 2.9062567419-01 8.4069556000-05
      320 0.00015432 2.7765889746-01 8.2411658430-05
      336 0.00016204 2.6526041480-01 8.0780330295-05
      352 0.00016975 2.5403814599-01 7.9175496467-05
      368 0.00017747 2.5382241427-01 7.7597059893-05
      384 0.00018519 2.5312142739-01 7.6044903119-05
      400 0.00019290 2.5197831724-01 7.4518889726-05
      416 0.00020062 2.5043339789-01 7.3018865678-05
      432 0.00020833 2.4852432296-01 7.1544660605-05
      448 0.00021605 2.4628623604-01 7.0096089009-05
      464 0.00022377 2.4375191435-01 6.8672951401-05
      480 0.00023148 2.4095190550-01 6.7275035378-05
      496 0.00023920 2.3791465756-01 6.5902116632-05
      512 0.00024691 2.3466664258-01 6.6413385447-05
      544 0.00026235 2.2763501613-01 6.7950057452-05
      576 0.00027778 2.2003357969-01 6.9159682918-05
      608 0.00029321 2.1201414335-01 7.0070872308-05
      640 0.00030864 2.0370669690-01 7.0710332851-05
      672 0.00032407 1.9522201667-01 7.1102964647-05
      704 0.00033951 1.8736672168-01 7.1271954384-05
      736 0.00035494 1.8701418810-01 7.1238866490-05
